"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Backend.csproj", "XML", 0, 0, 22, 0, 0, 3, 25
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\AttendanceController.cs", "C#", 42, 0, 0, 0, 0, 15, 57
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\AuditLogController.cs", "C#", 38, 0, 0, 0, 0, 5, 43
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\AuthController.cs", "C#", 27, 0, 0, 0, 1, 4, 32
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\DepartmentController.cs", "C#", 38, 0, 0, 0, 0, 13, 51
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\DesignationController.cs", "C#", 44, 0, 0, 0, 0, 20, 64
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\EmployeeController.cs", "C#", 32, 0, 0, 0, 1, 4, 37
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\LeaveBalanceController.cs", "C#", 41, 0, 0, 0, 7, 9, 57
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\LeaveRequestController.cs", "C#", 66, 0, 0, 0, 0, 9, 75
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\LeaveTypeController.cs", "C#", 50, 0, 0, 0, 0, 8, 58
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\OvertimeController.cs", "C#", 70, 0, 0, 0, 0, 14, 84
"e:\Projects Mine\HR and Payroll Mine 3\Backend\Controllers\PayrollController.cs", "C#", 60, 0, 0, 0, 0, 13, 73
"e:\Projects Mine\HR and Payroll Mine 3\Backend\DTOs\AttendanceResponseDto.cs", "C#", 13, 0, 0, 0, 0, 6, 19
"e:\Projects Mine\HR and Payroll Mine 3\Backend\DTOs\AuditLogResponseDto.cs", "C#", 14, 0, 0, 0, 0, 4, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\DTOs\CreateAttendanceDto.cs", "C#", 11, 0, 0, 0, 0, 5, 16
"e:\Projects Mine\HR and Payroll Mine 3\Backend\DTOs\CreateAuditLogDto.cs", "C#", 12, 0, 0, 0, 0, 6, 18
"e:\Projects Mine\HR and Payroll Mine 3\Backend\DTOs\CreateDepartmentDto.cs", "C#", 7, 0, 0, 0, 0, 2, 9
